program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
6,2025-06-11T06:46:00Z,5,138,27430
6,2025-06-11T06:47:00Z,8,141,28357
6,2025-06-11T06:48:00Z,7,146,29692
6,2025-06-11T06:49:00Z,4,149,30607
6,2025-06-11T06:50:00Z,7,146,30264
6,2025-06-11T06:51:00Z,5,141,28924
6,2025-06-11T06:52:00Z,7,148,30442
6,2025-06-11T06:53:00Z,5,107,22626
6,2025-06-11T06:54:00Z,7,146,30358
6,2025-06-11T06:55:00Z,5,147,30463
6,2025-06-11T06:56:00Z,7,124,25745
6,2025-06-11T06:57:00Z,4,139,29129
6,2025-06-11T06:58:00Z,7,149,31314
6,2025-06-11T06:59:00Z,4,144,29359
6,2025-06-11T07:00:00Z,8,144,29794
6,2025-06-11T07:01:00Z,7,146,30611
6,2025-06-11T07:02:00Z,6,147,30728
6,2025-06-11T07:03:00Z,6,153,31884
6,2025-06-11T07:04:00Z,6,146,30177
6,2025-06-11T07:05:00Z,5,150,30627
6,2025-06-11T07:06:00Z,7,143,28695
6,2025-06-11T07:07:00Z,7,134,28372
6,2025-06-11T07:08:00Z,6,127,26243
6,2025-06-11T07:09:00Z,5,133,27564
6,2025-06-11T07:10:00Z,6,129,27756
6,2025-06-11T07:11:00Z,5,136,29142
6,2025-06-11T07:12:00Z,6,146,31188
6,2025-06-11T07:13:00Z,7,137,29180
6,2025-06-11T07:14:00Z,5,143,30247
6,2025-06-11T07:15:00Z,7,145,30833
6,2025-06-11T07:16:00Z,7,145,30757
6,2025-06-11T07:17:00Z,5,145,30633
6,2025-06-11T07:18:00Z,8,143,30519
6,2025-06-11T07:19:00Z,4,134,28587
6,2025-06-11T07:20:00Z,7,119,25621
6,2025-06-11T07:21:00Z,3,43,9210
7,2025-06-11T08:22:00Z,1,34,9996
7,2025-06-11T08:23:00Z,4,92,25440
7,2025-06-11T08:24:00Z,4,62,17375
7,2025-06-11T08:25:00Z,2,59,16649
7,2025-06-11T08:26:00Z,4,59,16338
7,2025-06-11T08:27:00Z,5,78,21836
7,2025-06-11T08:28:00Z,3,76,21356
7,2025-06-11T08:29:00Z,5,67,18807
7,2025-06-11T08:30:00Z,4,78,22398
7,2025-06-11T08:31:00Z,5,75,20915
7,2025-06-11T08:32:00Z,1,35,9992
7,2025-06-11T08:33:00Z,4,50,13800
7,2025-06-11T08:34:00Z,0,35,9603
7,2025-06-11T08:35:00Z,3,46,13060
7,2025-06-11T08:36:00Z,3,25,6675
7,2025-06-11T08:37:00Z,0,31,7979
7,2025-06-11T08:38:00Z,1,21,5663
7,2025-06-11T08:39:00Z,2,17,4693
7,2025-06-11T08:40:00Z,1,29,8249
7,2025-06-11T08:41:00Z,2,15,3969
7,2025-06-11T08:42:00Z,0,18,4940
7,2025-06-11T08:43:00Z,0,19,5306
7,2025-06-11T08:44:00Z,2,10,2901
7,2025-06-11T08:45:00Z,3,34,9768
7,2025-06-11T08:46:00Z,0,26,7153
7,2025-06-11T08:47:00Z,0,15,4129
7,2025-06-11T08:48:00Z,2,16,4537
7,2025-06-11T08:49:00Z,1,14,3924
7,2025-06-11T08:50:00Z,2,19,5381
7,2025-06-11T08:51:00Z,0,8,2210
7,2025-06-11T08:52:00Z,0,28,7695
7,2025-06-11T08:53:00Z,1,10,2638
7,2025-06-11T08:54:00Z,1,4,1232
7,2025-06-11T08:55:00Z,3,73,20781
7,2025-06-11T08:56:00Z,4,71,20086
7,2025-06-11T08:57:00Z,5,81,22898
7,2025-06-11T08:58:00Z,5,88,24946
7,2025-06-11T08:59:00Z,3,51,14034
7,2025-06-11T09:00:00Z,4,53,14801
7,2025-06-11T09:01:00Z,3,76,21245
7,2025-06-11T09:02:00Z,4,60,17362
7,2025-06-11T09:03:00Z,4,80,22727
7,2025-06-11T09:04:00Z,5,85,23679
7,2025-06-11T09:05:00Z,4,68,19525
7,2025-06-11T09:06:00Z,5,88,25193
7,2025-06-11T09:07:00Z,4,68,19220
7,2025-06-11T09:08:00Z,4,78,22592
7,2025-06-11T09:09:00Z,5,70,20119
7,2025-06-11T09:10:00Z,4,68,19648
7,2025-06-11T09:11:00Z,4,74,20730
7,2025-06-11T09:12:00Z,4,82,22643
7,2025-06-11T09:13:00Z,4,72,20346
7,2025-06-11T09:14:00Z,5,74,20867
7,2025-06-11T09:15:00Z,3,60,16742
7,2025-06-11T09:16:00Z,4,79,22901
7,2025-06-11T09:17:00Z,5,85,24132
7,2025-06-11T09:18:00Z,4,66,18723
7,2025-06-11T09:19:00Z,2,47,13056
7,2025-06-11T09:20:00Z,4,64,17942
7,2025-06-11T09:21:00Z,3,61,17208
7,2025-06-11T09:22:00Z,4,60,17182
7,2025-06-11T09:23:00Z,3,65,18225
7,2025-06-11T09:24:00Z,5,78,21561
7,2025-06-11T09:25:00Z,3,68,19233
7,2025-06-11T09:26:00Z,5,68,19335
